epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1883.91,0.80502,0.7517,1.19214,0.81868,0.72141,0.76846,0.55915,0.96009,0.95746,1.169,0.000848969,0.000848969,0.000848969
43,1929.26,0.78268,0.7313,1.18341,0.76226,0.68113,0.73804,0.53538,0.9881,1.0461,1.15938,0.000834822,0.000834822,0.000834822
44,1974.86,0.7832,0.72821,1.18482,0.80961,0.66995,0.75599,0.56343,0.98031,0.97965,1.17668,0.000820675,0.000820675,0.000820675
45,2018.1,0.77489,0.72521,1.17866,0.80346,0.68497,0.74314,0.54658,0.99756,0.98957,1.20656,0.000806528,0.000806528,0.000806528
46,2061.1,0.76363,0.72419,1.17666,0.77722,0.70254,0.76657,0.55914,1.00352,1.01117,1.22987,0.00079238,0.00079238,0.00079238
47,2106.41,0.76353,0.71879,1.1637,0.82081,0.69045,0.7547,0.55538,0.98573,1.03522,1.16038,0.000778233,0.000778233,0.000778233
48,2149.38,0.75476,0.716,1.17049,0.81293,0.71319,0.75623,0.54791,1.0109,1.0059,1.22055,0.000764086,0.000764086,0.000764086
49,2192.09,0.76064,0.70369,1.16892,0.79174,0.67225,0.73906,0.52328,1.03828,1.0267,1.2563,0.000749939,0.000749939,0.000749939
50,2236.73,0.73681,0.67617,1.15292,0.82371,0.72766,0.76654,0.56022,1.00352,1.01831,1.21943,0.000735792,0.000735792,0.000735792
51,2279.92,0.75091,0.69989,1.16229,0.78791,0.74142,0.75987,0.54093,1.00959,1.00021,1.21115,0.000721645,0.000721645,0.000721645
52,2323.4,0.75031,0.68958,1.15951,0.74218,0.67118,0.73485,0.53287,1.03123,1.05361,1.21903,0.000707498,0.000707498,0.000707498
53,2367.77,0.72771,0.66059,1.1431,0.74543,0.69209,0.7163,0.51978,1.02548,1.10531,1.2665,0.000693351,0.000693351,0.000693351
54,2412.68,0.73092,0.66816,1.15406,0.81214,0.69384,0.75974,0.54949,1.05614,0.94869,1.27153,0.000679204,0.000679204,0.000679204
55,2457.32,0.73076,0.65638,1.14771,0.80804,0.69439,0.74511,0.55292,0.98098,0.97876,1.17564,0.000665057,0.000665057,0.000665057
56,2500.77,0.72566,0.65144,1.14364,0.77616,0.68042,0.74234,0.5442,1.01598,1.01314,1.2385,0.000650909,0.000650909,0.000650909
57,2545.89,0.70863,0.64221,1.13705,0.8055,0.70936,0.77849,0.57925,0.95906,0.9076,1.15919,0.000636762,0.000636762,0.000636762
58,2589.73,0.70505,0.64491,1.12789,0.7282,0.71243,0.74998,0.55231,1.0181,1.03823,1.24244,0.000622615,0.000622615,0.000622615
