epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2179.4,0.81117,0.75328,1.20329,0.78618,0.67821,0.73352,0.52544,1.02278,1.083,1.2106,0.000848969,0.000848969,0.000848969
43,2230.42,0.78313,0.73632,1.18288,0.76078,0.70159,0.75202,0.55394,0.98536,0.96154,1.17477,0.000834822,0.000834822,0.000834822
44,2282.36,0.77939,0.72078,1.18438,0.76261,0.69818,0.74267,0.54383,1.03699,1.03777,1.2551,0.000820675,0.000820675,0.000820675
45,2333.56,0.77051,0.726,1.17823,0.77209,0.71076,0.74129,0.52183,1.08512,1.05668,1.30906,0.000806528,0.000806528,0.000806528
46,2384.86,0.76017,0.72619,1.17705,0.85934,0.68738,0.76366,0.54556,1.02901,0.95493,1.22782,0.00079238,0.00079238,0.00079238
47,2436.68,0.7707,0.70974,1.16792,0.81641,0.67326,0.75305,0.55409,1.00676,1.06428,1.20246,0.000778233,0.000778233,0.000778233
48,2488.04,0.75676,0.71409,1.1708,0.81469,0.70047,0.76548,0.55513,1.03038,0.98934,1.24189,0.000764086,0.000764086,0.000764086
49,2538.58,0.75727,0.69123,1.16805,0.83641,0.70899,0.76647,0.54475,1.03385,1.04702,1.2229,0.000749939,0.000749939,0.000749939
50,2590.45,0.73861,0.67252,1.15279,0.80343,0.72634,0.77829,0.55978,1.00433,0.92645,1.22573,0.000735792,0.000735792,0.000735792
51,2641.25,0.73934,0.6778,1.1542,0.79409,0.70358,0.74803,0.54023,1.0324,1.02819,1.19257,0.000721645,0.000721645,0.000721645
52,2693.3,0.74314,0.67953,1.1555,0.74955,0.73469,0.762,0.56026,1.03869,0.99152,1.26351,0.000707498,0.000707498,0.000707498
53,2744.82,0.7179,0.64783,1.14415,0.81553,0.70252,0.76029,0.5552,1.00888,0.96992,1.22227,0.000693351,0.000693351,0.000693351
54,2796.13,0.72459,0.64602,1.14573,0.79039,0.69654,0.74721,0.55169,0.98762,1.05951,1.2009,0.000679204,0.000679204,0.000679204
55,2848.16,0.71246,0.64273,1.13754,0.83115,0.70677,0.75067,0.56168,0.97277,1.01137,1.19566,0.000665057,0.000665057,0.000665057
56,2899.05,0.70399,0.6274,1.1315,0.84858,0.68796,0.75153,0.56128,0.96425,1.01399,1.20926,0.000650909,0.000650909,0.000650909
57,2950.02,0.68954,0.6192,1.12358,0.84203,0.70501,0.75874,0.5616,0.97483,0.98206,1.19817,0.000636762,0.000636762,0.000636762
58,3002.44,0.7024,0.62854,1.12957,0.78357,0.70944,0.74372,0.54748,0.99526,1.00975,1.23034,0.000622615,0.000622615,0.000622615
59,3053.57,0.69455,0.60624,1.12487,0.8387,0.72129,0.79759,0.57179,1.02846,0.90032,1.26101,0.000608468,0.000608468,0.000608468
60,3104.47,0.6948,0.62052,1.12322,0.82143,0.74716,0.78451,0.5733,0.96083,0.95379,1.1927,0.000594321,0.000594321,0.000594321
61,3154.09,0.69123,0.62233,1.12523,0.79687,0.74398,0.76668,0.56069,0.98433,0.9947,1.21796,0.000580174,0.000580174,0.000580174
62,3205.44,0.6742,0.59141,1.11134,0.83628,0.72509,0.76573,0.55995,0.9923,0.94394,1.22067,0.000566027,0.000566027,0.000566027
63,3256.67,0.67412,0.59312,1.11792,0.83003,0.72266,0.76906,0.56854,0.95954,0.945,1.17229,0.00055188,0.00055188,0.00055188
